first,second,third
applin,dipplin,hydrapple
duraludon,archaludon,none
poltchageist,sinistcha,none
gimmighoul,gholdengo,none
frigibax,arctibax,baxcalibur
pawniard,bisharp,kingambit
dunsparce,dudunsparce,none
girafarig,farigiraf,none
wooper,clodsire,none
mankey,primeape,annihilape
cetoddle,cetitan,none
greavard,houndstone,none
glimmet,glimmora,none
varoom,revavroom,none
finizen,palafin,none
wiglett,wugtrio,none
tinkatink,tinkatuff,tinkaton
flittle,espathra,none
rellor,rabsca,none
capsakid,scovillain,none
toedscool,toedscruel,none
bramblin,brambleghast,none
shroodle,grafaiai,none
maschiff,mabosstiff,none
wattrel,kilowattrel,none
tadbulb,bellibolt,none
charcadet,ceruledge,none
charcadet,armarouge,none
nacli,naclstack,garganacl
smoliv,dolliv,arboliva
fidough,dachsbun,none
tandemaus,maushold,none
pawmi,pawmo,pawmot
nymble,lokix,none
tarountula,spidops,none
lechonk,oinkologne,none
quaxly,quaxwell,quaquaval
fuecoco,crocalor,skeledirge
sprigatito,floragato,meowscarada
qwilfish,overqwil,none
sneasel,sneasler,none
basculin,basculegion,none
teddiursa,ursaring,ursaluna
scyther,kleavor,none
stantler,wyrdeer,none
kubfu,urshifu,none
dreepy,drakloak,dragapult
cufant,copperajah,none
snom,frosmoth,none
milcery,alcremie,none
yamask,runerigus,none
mime-jr,mr-mime,mr-rime
farfetchd,sirfetchd,none
corsola,cursola,none
meowth,perrserker,none
zigzagoon,linoone,obstagoon
impidimp,morgrem,grimmsnarl
hatenna,hattrem,hatterene
sinistea,polteageist,none
clobbopus,grapploct,none
sizzlipede,centiskorch,none
toxel,toxtricity,none
arrokuda,barraskewda,none
silicobra,sandaconda,none
applin,appletun,none
applin,flapple,none
rolycoly,carkol,coalossal
yamper,boltund,none
chewtle,drednaw,none
wooloo,dubwool,none
gossifleur,eldegoss,none
nickit,thievul,none
blipbug,dottler,orbeetle
rookidee,corvisquire,corviknight
skwovet,greedent,none
sobble,drizzile,inteleon
scorbunny,raboot,cinderace
grookey,thwackey,rillaboom
meltan,melmetal,none
poipole,naganadel,none
cosmog,cosmoem,lunala
cosmog,cosmoem,solgaleo
jangmo-o,hakamo-o,kommo-o
type-null,silvally,none
sandygast,palossand,none
wimpod,golisopod,none
bounsweet,steenee,tsareena
stufful,bewear,none
salandit,salazzle,none
morelull,shiinotic,none
fomantis,lurantis,none
dewpider,araquanid,none
mudbray,mudsdale,none
mareanie,toxapex,none
rockruff,lycanroc,none
cutiefly,ribombee,none
crabrawler,crabominable,none
grubbin,charjabug,vikavolt
yungoos,gumshoos,none
pikipek,trumbeak,toucannon
popplio,brionne,primarina
litten,torracat,incineroar
rowlet,dartrix,decidueye
noibat,noivern,none
bergmite,avalugg,none
pumpkaboo,gourgeist,none
phantump,trevenant,none
goomy,sliggoo,goodra
amaura,aurorus,none
tyrunt,tyrantrum,none
helioptile,heliolisk,none
clauncher,clawitzer,none
skrelp,dragalge,none
binacle,barbaracle,none
inkay,malamar,none
swirlix,slurpuff,none
spritzee,aromatisse,none
honedge,doublade,aegislash
espurr,meowstic,none
pancham,pangoro,none
skiddo,gogoat,none
flabebe,floette,florges
litleo,pyroar,none
scatterbug,spewpa,vivillon
fletchling,fletchinder,talonflame
bunnelby,diggersby,none
froakie,frogadier,greninja
fennekin,braixen,delphox
chespin,quilladin,chesnaught
larvesta,volcarona,none
deino,zweilous,hydreigon
vullaby,mandibuzz,none
rufflet,braviary,none
golett,golurk,none
mienfoo,mienshao,none
shelmet,accelgor,none
cubchoo,beartic,none
axew,fraxure,haxorus
litwick,lampent,chandelure
elgyem,beheeyem,none
tynamo,eelektrik,eelektross
klink,klang,klinklang
ferroseed,ferrothorn,none
joltik,galvantula,none
frillish,jellicent,none
foongus,amoonguss,none
karrablast,escavalier,none
deerling,sawsbuck,none
vanillite,vanillish,vanilluxe
ducklett,swanna,none
solosis,duosion,reuniclus
gothita,gothorita,gothitelle
minccino,cinccino,none
zorua,zoroark,none
trubbish,garbodor,none
archen,archeops,none
tirtouga,carracosta,none
yamask,cofagrigus,none
scraggy,scrafty,none
dwebble,crustle,none
darumaka,darmanitan,none
sandile,krokorok,krookodile
petilil,lilligant,none
cottonee,whimsicott,none
venipede,whirlipede,scolipede
sewaddle,swadloon,leavanny
tympole,palpitoad,seismitoad
timburr,gurdurr,conkeldurr
drilbur,excadrill,none
woobat,swoobat,none
roggenrola,boldore,gigalith
blitzle,zebstrika,none
pidove,tranquill,unfezant
munna,musharna,none
