pokemonID,moveName,type,power,accuracy
1,razor-wind,normal,80,100
1,swords-dance,normal,0,0
1,cut,normal,50,95
1,bind,normal,15,85
1,vine-whip,grass,45,100
1,headbutt,normal,70,100
1,tackle,normal,40,100
1,body-slam,normal,85,100
1,take-down,normal,90,85
1,double-edge,normal,120,100
1,growl,normal,0,100
1,strength,normal,80,100
1,mega-drain,grass,40,100
1,leech-seed,grass,0,90
1,growth,normal,0,0
1,razor-leaf,grass,55,95
1,solar-beam,grass,120,100
1,poison-powder,poison,0,75
1,sleep-powder,grass,0,75
1,petal-dance,grass,120,100
1,string-shot,bug,0,95
1,toxic,poison,0,90
1,rage,normal,20,100
1,mimic,normal,0,0
1,double-team,normal,0,0
1,defense-curl,normal,0,0
1,light-screen,psychic,0,0
1,reflect,psychic,0,0
1,bide,normal,0,0
1,sludge,poison,65,100
1,skull-bash,normal,130,100
1,amnesia,psychic,0,0
1,flash,normal,0,100
1,rest,psychic,0,0
1,substitute,normal,0,0
1,snore,normal,50,100
1,curse,ghost,0,0
1,protect,normal,0,0
1,sludge-bomb,poison,90,100
1,mud-slap,ground,20,100
1,outrage,dragon,120,100
1,giga-drain,grass,75,100
1,endure,normal,0,0
1,charm,fairy,0,100
1,false-swipe,normal,40,100
1,swagger,normal,0,85
1,fury-cutter,bug,40,95
1,attract,normal,0,100
1,sleep-talk,normal,0,0
1,return,normal,0,100
1,frustration,normal,0,100
1,safeguard,normal,0,0
1,sweet-scent,normal,0,100
1,synthesis,grass,0,0
1,hidden-power,normal,60,100
1,sunny-day,fire,0,0
1,rock-smash,fighting,40,100
1,facade,normal,70,100
1,nature-power,normal,0,0
1,helping-hand,normal,0,0
1,ingrain,grass,0,0
1,knock-off,dark,65,100
1,secret-power,normal,70,100
1,weather-ball,normal,50,100
1,grass-whistle,grass,0,55
1,bullet-seed,grass,25,100
1,magical-leaf,grass,60,0
1,natural-gift,normal,0,100
1,worry-seed,grass,0,100
1,seed-bomb,grass,80,100
1,energy-ball,grass,90,100
1,leaf-storm,grass,130,90
1,power-whip,grass,120,85
1,captivate,normal,0,100
1,grass-knot,grass,0,100
1,venoshock,poison,65,100
1,acid-spray,poison,40,100
1,round,normal,60,100
1,echoed-voice,normal,40,100
1,grass-pledge,grass,80,100
1,work-up,normal,0,0
1,grassy-terrain,grass,0,0
1,confide,normal,0,0
1,grassy-glide,grass,55,100
1,tera-blast,normal,80,100
1,trailblaze,grass,50,100
2,swords-dance,normal,0,0
2,cut,normal,50,95
2,bind,normal,15,85
2,vine-whip,grass,45,100
2,headbutt,normal,70,100
2,tackle,normal,40,100
2,body-slam,normal,85,100
2,take-down,normal,90,85
2,double-edge,normal,120,100
2,growl,normal,0,100
2,roar,normal,0,0
2,strength,normal,80,100
2,mega-drain,grass,40,100
2,leech-seed,grass,0,90
2,growth,normal,0,0
2,razor-leaf,grass,55,95
2,solar-beam,grass,120,100
2,poison-powder,poison,0,75
2,sleep-powder,grass,0,75
2,petal-dance,grass,120,100
2,string-shot,bug,0,95
2,toxic,poison,0,90
2,rage,normal,20,100
2,mimic,normal,0,0
2,double-team,normal,0,0
2,defense-curl,normal,0,0
2,light-screen,psychic,0,0
2,reflect,psychic,0,0
2,bide,normal,0,0
2,amnesia,psychic,0,0
2,flash,normal,0,100
2,rest,psychic,0,0
2,substitute,normal,0,0
2,snore,normal,50,100
2,curse,ghost,0,0
2,protect,normal,0,0
2,sludge-bomb,poison,90,100
