pokemonID,statName,baseStat,effort,isBattleOnly
1,hp,45,0,False
1,attack,49,0,False
1,defense,49,0,False
1,special-attack,65,1,False
1,special-defense,65,0,False
1,speed,45,0,False
2,hp,60,0,False
2,attack,62,0,False
2,defense,63,0,False
2,special-attack,80,1,False
2,special-defense,80,1,False
2,speed,60,0,False
3,hp,80,0,False
3,attack,82,0,False
3,defense,83,0,False
3,special-attack,100,2,False
3,special-defense,100,1,False
3,speed,80,0,False
4,hp,39,0,False
4,attack,52,0,False
4,defense,43,0,False
4,special-attack,60,0,False
4,special-defense,50,0,False
4,speed,65,1,False
5,hp,58,0,False
5,attack,64,0,False
5,defense,58,0,False
5,special-attack,80,1,False
5,special-defense,65,0,False
5,speed,80,1,False
6,hp,78,0,False
6,attack,84,0,False
6,defense,78,0,False
6,special-attack,109,3,False
6,special-defense,85,0,False
6,speed,100,0,False
7,hp,44,0,False
7,attack,48,0,False
7,defense,65,1,False
7,special-attack,50,0,False
7,special-defense,64,0,False
7,speed,43,0,False
8,hp,59,0,False
8,attack,63,0,False
8,defense,80,1,False
8,special-attack,65,0,False
8,special-defense,80,1,False
8,speed,58,0,False
9,hp,79,0,False
9,attack,83,0,False
9,defense,100,0,False
9,special-attack,85,0,False
9,special-defense,105,3,False
9,speed,78,0,False
10,hp,45,1,False
10,attack,30,0,False
10,defense,35,0,False
10,special-attack,20,0,False
10,special-defense,20,0,False
10,speed,45,0,False
11,hp,50,0,False
11,attack,20,0,False
11,defense,55,2,False
11,special-attack,25,0,False
11,special-defense,25,0,False
11,speed,30,0,False
12,hp,60,0,False
12,attack,45,0,False
12,defense,50,0,False
12,special-attack,90,2,False
12,special-defense,80,1,False
12,speed,70,0,False
13,hp,40,0,False
13,attack,35,0,False
13,defense,30,0,False
13,special-attack,20,0,False
13,special-defense,20,0,False
13,speed,50,1,False
14,hp,45,0,False
14,attack,25,0,False
14,defense,50,2,False
14,special-attack,25,0,False
14,special-defense,25,0,False
14,speed,35,0,False
15,hp,65,0,False
15,attack,90,2,False
15,defense,40,0,False
15,special-attack,45,0,False
15,special-defense,80,1,False
15,speed,75,0,False
16,hp,40,0,False
16,attack,45,0,False
16,defense,40,0,False
16,special-attack,35,0,False
16,special-defense,35,0,False
16,speed,56,1,False
17,hp,63,0,False
17,attack,60,0,False
17,defense,55,0,False
17,special-attack,50,0,False
17,special-defense,50,0,False
17,speed,71,2,False
18,hp,83,0,False
18,attack,80,0,False
18,defense,75,0,False
18,special-attack,70,0,False
18,special-defense,70,0,False
18,speed,101,3,False
19,hp,30,0,False
19,attack,56,0,False
19,defense,35,0,False
19,special-attack,25,0,False
19,special-defense,35,0,False
19,speed,72,1,False
20,hp,55,0,False
20,attack,81,0,False
20,defense,60,0,False
20,special-attack,50,0,False
20,special-defense,70,0,False
20,speed,97,2,False
21,hp,40,0,False
21,attack,60,0,False
21,defense,30,0,False
21,special-attack,31,0,False
21,special-defense,31,0,False
21,speed,70,1,False
22,hp,65,0,False
22,attack,90,0,False
22,defense,65,0,False
22,special-attack,61,0,False
22,special-defense,61,0,False
22,speed,100,2,False
23,hp,35,0,False
23,attack,60,1,False
23,defense,44,0,False
23,special-attack,40,0,False
23,special-defense,54,0,False
23,speed,55,0,False
24,hp,60,0,False
24,attack,95,2,False
24,defense,69,0,False
24,special-attack,65,0,False
24,special-defense,79,0,False
24,speed,80,0,False
25,hp,35,0,False
25,attack,55,0,False
25,defense,40,0,False
25,special-attack,50,0,False
25,special-defense,50,0,False
25,speed,90,2,False
26,hp,60,0,False
26,attack,90,0,False
26,defense,55,0,False
26,special-attack,90,0,False
26,special-defense,80,0,False
26,speed,110,3,False
27,hp,50,0,False
27,attack,75,0,False
27,defense,85,1,False
27,special-attack,20,0,False
27,special-defense,30,0,False
27,speed,40,0,False
28,hp,75,0,False
28,attack,100,0,False
28,defense,110,2,False
28,special-attack,45,0,False
28,special-defense,55,0,False
28,speed,65,0,False
29,hp,55,1,False
29,attack,47,0,False
29,defense,52,0,False
29,special-attack,40,0,False
29,special-defense,40,0,False
29,speed,41,0,False
30,hp,70,2,False
30,attack,62,0,False
30,defense,67,0,False
30,special-attack,55,0,False
30,special-defense,55,0,False
30,speed,56,0,False
31,hp,90,3,False
31,attack,92,0,False
31,defense,87,0,False
31,special-attack,75,0,False
31,special-defense,85,0,False
31,speed,76,0,False
32,hp,46,0,False
32,attack,57,1,False
32,defense,40,0,False
32,special-attack,40,0,False
32,special-defense,40,0,False
32,speed,50,0,False
33,hp,61,0,False
33,attack,72,2,False
33,defense,57,0,False
33,special-attack,55,0,False
33,special-defense,55,0,False
33,speed,65,0,False
34,hp,81,0,False
34,attack,102,3,False
34,defense,77,0,False
34,special-attack,85,0,False
34,special-defense,75,0,False
34,speed,85,0,False
35,hp,70,2,False
35,attack,45,0,False
35,defense,48,0,False
35,special-attack,60,0,False
35,special-defense,65,0,False
35,speed,35,0,False
36,hp,95,3,False
36,attack,70,0,False
36,defense,73,0,False
36,special-attack,95,0,False
36,special-defense,90,0,False
36,speed,60,0,False
37,hp,38,0,False
37,attack,41,0,False
37,defense,40,0,False
37,special-attack,50,0,False
37,special-defense,65,0,False
37,speed,65,1,False
38,hp,73,0,False
38,attack,76,0,False
38,defense,75,0,False
38,special-attack,81,0,False
38,special-defense,100,1,False
38,speed,100,1,False
39,hp,115,2,False
39,attack,45,0,False
39,defense,20,0,False
39,special-attack,45,0,False
39,special-defense,25,0,False
39,speed,20,0,False
40,hp,140,3,False
40,attack,70,0,False
40,defense,45,0,False
40,special-attack,85,0,False
40,special-defense,50,0,False
40,speed,45,0,False
41,hp,40,0,False
41,attack,45,0,False
41,defense,35,0,False
41,special-attack,30,0,False
41,special-defense,40,0,False
41,speed,55,1,False
42,hp,75,0,False
42,attack,80,0,False
42,defense,70,0,False
42,special-attack,65,0,False
42,special-defense,75,0,False
42,speed,90,2,False
43,hp,45,0,False
43,attack,50,0,False
43,defense,55,0,False
43,special-attack,75,1,False
43,special-defense,65,0,False
43,speed,30,0,False
44,hp,60,0,False
44,attack,65,0,False
44,defense,70,0,False
44,special-attack,85,2,False
44,special-defense,75,0,False
44,speed,40,0,False
45,hp,75,0,False
45,attack,80,0,False
45,defense,85,0,False
45,special-attack,110,3,False
45,special-defense,90,0,False
45,speed,50,0,False
46,hp,35,0,False
46,attack,70,1,False
46,defense,55,0,False
46,special-attack,45,0,False
46,special-defense,55,0,False
46,speed,25,0,False
47,hp,60,0,False
47,attack,95,2,False
47,defense,80,1,False
47,special-attack,60,0,False
47,special-defense,80,0,False
47,speed,30,0,False
48,hp,60,0,False
48,attack,55,0,False
48,defense,50,0,False
48,special-attack,40,0,False
48,special-defense,55,1,False
48,speed,45,0,False
49,hp,70,0,False
49,attack,65,0,False
49,defense,60,0,False
49,special-attack,90,1,False
49,special-defense,75,0,False
49,speed,90,1,False
50,hp,10,0,False
50,attack,55,0,False
50,defense,25,0,False
50,special-attack,35,0,False
50,special-defense,45,0,False
50,speed,95,1,False
51,hp,35,0,False
51,attack,100,0,False
51,defense,50,0,False
51,special-attack,50,0,False
51,special-defense,70,0,False
51,speed,120,2,False
52,hp,40,0,False
52,attack,45,0,False
52,defense,35,0,False
52,special-attack,40,0,False
52,special-defense,40,0,False
52,speed,90,1,False
53,hp,65,0,False
53,attack,70,0,False
53,defense,60,0,False
53,special-attack,65,0,False
53,special-defense,65,0,False
53,speed,115,2,False
54,hp,50,0,False
54,attack,52,0,False
54,defense,48,0,False
54,special-attack,65,1,False
54,special-defense,50,0,False
54,speed,55,0,False
55,hp,80,0,False
55,attack,82,0,False
55,defense,78,0,False
55,special-attack,95,2,False
55,special-defense,80,0,False
55,speed,85,0,False
56,hp,40,0,False
56,attack,80,1,False
56,defense,35,0,False
56,special-attack,35,0,False
56,special-defense,45,0,False
56,speed,70,0,False
57,hp,65,0,False
57,attack,105,2,False
57,defense,60,0,False
57,special-attack,60,0,False
57,special-defense,70,0,False
57,speed,95,0,False
58,hp,55,0,False
58,attack,70,1,False
58,defense,45,0,False
58,special-attack,70,0,False
58,special-defense,50,0,False
58,speed,60,0,False
59,hp,90,0,False
59,attack,110,2,False
59,defense,80,0,False
59,special-attack,100,0,False
59,special-defense,80,0,False
59,speed,95,0,False
60,hp,40,0,False
60,attack,50,0,False
60,defense,40,0,False
60,special-attack,40,0,False
60,special-defense,40,0,False
60,speed,90,1,False
61,hp,65,0,False
61,attack,65,0,False
61,defense,65,0,False
61,special-attack,50,0,False
61,special-defense,50,0,False
61,speed,90,2,False
62,hp,90,0,False
62,attack,95,0,False
62,defense,95,3,False
62,special-attack,70,0,False
62,special-defense,90,0,False
62,speed,70,0,False
63,hp,25,0,False
63,attack,20,0,False
63,defense,15,0,False
63,special-attack,105,1,False
63,special-defense,55,0,False
63,speed,90,0,False
64,hp,40,0,False
64,attack,35,0,False
