pokemon_id,type_name
1,grass
1,poison
2,grass
2,poison
3,grass
3,poison
4,fire
5,fire
6,fire
6,flying
7,water
8,water
9,water
10,bug
11,bug
12,bug
12,flying
13,bug
13,poison
14,bug
14,poison
15,bug
15,poison
16,normal
16,flying
17,normal
17,flying
18,normal
18,flying
19,normal
20,normal
21,normal
21,flying
22,normal
22,flying
23,poison
24,poison
25,electric
26,electric
27,ground
28,ground
29,poison
30,poison
31,poison
31,ground
32,poison
33,poison
34,poison
34,ground
35,fairy
36,fairy
37,fire
38,fire
39,normal
39,fairy
40,normal
40,fairy
41,poison
41,flying
42,poison
42,flying
43,grass
43,poison
44,grass
44,poison
45,grass
45,poison
46,bug
46,grass
47,bug
47,grass
48,bug
48,poison
49,bug
49,poison
50,ground
51,ground
52,normal
53,normal
54,water
55,water
56,fighting
57,fighting
58,fire
59,fire
60,water
61,water
62,water
62,fighting
63,psychic
64,psychic
65,psychic
66,fighting
67,fighting
68,fighting
69,grass
69,poison
70,grass
70,poison
71,grass
71,poison
72,water
72,poison
73,water
73,poison
74,rock
74,ground
75,rock
75,ground
76,rock
76,ground
77,fire
78,fire
79,water
79,psychic
80,water
80,psychic
81,electric
81,steel
82,electric
82,steel
83,normal
83,flying
84,normal
84,flying
85,normal
85,flying
86,water
87,water
87,ice
88,poison
89,poison
90,water
91,water
91,ice
92,ghost
92,poison
93,ghost
93,poison
94,ghost
94,poison
95,rock
95,ground
96,psychic
97,psychic
98,water
99,water
100,electric
101,electric
102,grass
102,psychic
103,grass
103,psychic
104,ground
105,ground
106,fighting
107,fighting
108,normal
109,poison
110,poison
111,ground
111,rock
112,ground
112,rock
113,normal
114,grass
115,normal
116,water
117,water
118,water
119,water
120,water
121,water
121,psychic
122,psychic
122,fairy
123,bug
123,flying
124,ice
124,psychic
125,electric
126,fire
127,bug
128,normal
129,water
130,water
130,flying
131,water
131,ice
132,normal
133,normal
134,water
135,electric
136,fire
137,normal
138,rock
138,water
139,rock
139,water
140,rock
140,water
141,rock
141,water
142,rock
142,flying
143,normal
144,ice
144,flying
145,electric
145,flying
146,fire
146,flying
147,dragon
148,dragon
149,dragon
149,flying
150,psychic
151,psychic
152,grass
153,grass
154,grass
155,fire
156,fire
157,fire
158,water
159,water
160,water
161,normal
162,normal
163,normal
163,flying
164,normal
164,flying
165,bug
165,flying
166,bug
166,flying
167,bug
167,poison
168,bug
168,poison
169,poison
169,flying
170,water
170,electric
171,water
171,electric
172,electric
173,fairy
174,normal
174,fairy
175,fairy
176,fairy
176,flying
177,psychic
177,flying
178,psychic
178,flying
179,electric
180,electric
181,electric
182,grass
183,water
183,fairy
184,water
184,fairy
185,rock
186,water
187,grass
187,flying
188,grass
188,flying
189,grass
189,flying
190,normal
191,grass
192,grass
193,bug
193,flying
194,water
194,ground
195,water
195,ground
196,psychic
197,dark
198,dark
198,flying
199,water
199,psychic
